,Datetime,Media,Title,Desc,Link
0,2021-11-07 9:47 AM,MedCity,Notable raises $100M to automate administrative tasks,"The workflow automation startup has struck partnerships with large health systems, including Intermountain Healthcare and CommonSpirit Health. ","<a href=https://medcitynews.com/2021/11/notable-raises-100m-to-automate-administrative-tasks/ target=""_blank""><div>Link</div></a>"
1,2021-11-07 11:00 AM,MedCity,"Regulators get it right in Optum-Change case, a proper target for antitrust enforcement","In both word and action, the Biden administration has ushered in an aggressive new era […]","<a href=https://medcitynews.com/2021/11/regulators-get-it-right-in-optum-change-case-a-proper-target-for-antitrust-enforcement/ target=""_blank""><div>Link</div></a>"
2,2021-11-06 9:00 AM,MedCity,Investor perspective: How to successfully partner with in-demand healthcare startups,A private equity investor shares his advice on how to work with hot startups and find a seat at their investing table.,"<a href=https://medcitynews.com/2021/11/investor-perspective-how-to-successfully-partner-with-in-demand-healthcare-startups/ target=""_blank""><div>Link</div></a>"
3,2021-11-05 9:30 AM,Biotech,"Mirati CMO, COO booted as request to FDA looms—Chutes & Ladders","Mirati chief medical, operating officers exit ahead of first drug approval request. Ex-Moderna CMO chooses VC route at OrbiMed. Lengo hires again.","<a href=https://www.fiercebiotech.com/biotech/chutes-ladders-mirati-therapeutics-cmo-coo-given-boot-as-fda-filing-looms target=""_blank""><div>Link</div></a>"
4,2021-11-05 9:20 AM,Biotech,Researchers find a potential gene therapy target in Parkinson's,Northwestern University researchers found that a gene therapy could boost the effectiveness of a widely used Parkinson's drug in mice.,"<a href=https://www.fiercebiotech.com/research/researchers-find-target-for-potential-parkinson-s-gene-therapy-way-to-diagnose-disease target=""_blank""><div>Link</div></a>"
5,2021-11-05 8:30 AM,Biotech,HitGen taps Cambridge Molecular for 'deep learning' work,Chinese drug discovery biotech HitGen is teaming up with U.K.-based Cambridge Molecular to better seek out new drugs.,"<a href=https://www.fiercebiotech.com/biotech/hitgen-taps-cambridge-molecular-for-deep-learning-drug-discovery-collab target=""_blank""><div>Link</div></a>"
6,2021-11-05 7:30 AM,MedCity,StartUPDATES: New developments from healthcare startups,"Check out news from Vivalink, HealthMine, Vitable Health and more.","<a href=https://medcitynews.com/2021/11/startupdates-new-developments-from-healthcare-startups-47/ target=""_blank""><div>Link</div></a>"
7,2021-11-05 6:14 PM,MedCity,Biologics manufacturing drives Evotec’s $435M U.S. stock market debut,"Evotec is an old player in the life sciences, but in offering new shares on the Nasdaq, the Germany-based company plans to bolster its new biologics manufacturing capabilities in the U.S and Europe. In other stock market debuts, IO Biotech’s IPO raised $100 million as it prepares a pivotal test of its lead cancer immunotherapy.","<a href=https://medcitynews.com/2021/11/biologics-manufacturing-drives-evotecs-435m-u-s-stock-market-debut/ target=""_blank""><div>Link</div></a>"
8,2021-11-05 6:00 AM,Biotech,Veterans from GSK's GlycoVaxyn rally up $49M for new biotech,GlycoEra has launched with $49 million to develop therapies for a range of diseases using its glycoengineering platform.,"<a href=https://www.fiercebiotech.com/biotech/veterans-from-gsk-s-glycovaxyn-rally-up-49m-to-advance-swiss-biotech-glycoera-and-custom target=""_blank""><div>Link</div></a>"
9,2021-11-05 5:15 PM,MedCity,Valera raises $15M for high-acuity mental healthcare,"Valera Health provides teletherapy services for mental health, ranging from mild to serious conditions. The company recently raised $15 million in funding led by Windham Venture Partners. ","<a href=https://medcitynews.com/2021/11/valera-raises-15m-for-high-acuity-mental-healthcare/ target=""_blank""><div>Link</div></a>"
