,永雄,Stella,Datetime,Media,Title with link,Title,Desc,Link
0,,,2021/11/3 19:41,MedCity,CMS extends telehealth coverage for behavioral health in 2022 physician fee schedule,CMS extends telehealth coverage for behavioral health in 2022 physician fee schedule,"The Centers for Medicare and Medicaid Services dropped its physician fee schedule for next year. It would bolster coverage of telehealth visits for behavioral health and vaccine payments, but would also reduce the conversion factor used to calculate fee-for-service payments. ",https://medcitynews.com/2021/11/cms-extends-telehealth-coverage-for-behavioral-health-in-2022-physician-fee-schedule/
1,,,2021/11/3 18:34,MedCity,"ALS drugmaker steps up with FDA filing, but yet another biotech stumbles in clinic","ALS drugmaker steps up with FDA filing, but yet another biotech stumbles in clinic","Amylyx Pharmaceuticals has submitted its amyotrophic lateral sclerosis (ALS) drug for FDA review based on positive Phase 2 data after discussions with the agency over the summer. Meanwhile, a Clene Nanomedicine ALS drug failed its Phase 2 study, but the biotech points to encouraging results in a subgroup of patients.",https://medcitynews.com/2021/11/als-drugmaker-steps-up-with-fda-filing-but-yet-another-biotech-stumbles-in-clinic/
2,,,2021/11/3 16:41,MedCity,Pillar Biosciences seeks to make precision medicine a first-line therapy for cancer patients,Pillar Biosciences seeks to make precision medicine a first-line therapy for cancer patients,"Randy Pritchard, Pillar Biosciences CEO, highlighted some of the progress the oncology solutions company has made in developing in-vitro diagnostics in response to emailed questions from MedCity News.",https://medcitynews.com/2021/11/pilar-biosciences-seeks-to-make-precision-medicine-a-first-line-therapy-for-cancer-patients/
3,,,2021/11/3 16:11,MedCity,Kaia adds in-person physical therapy through partnership,Kaia adds in-person physical therapy through partnership,"The digital health company recently struck a partnership with Luna On-Demand Physical Therapy to offer in-person physical therapy services, in addition to its virtual programs for musculoskeletal care. Users in markets where Luna is available can schedule an in-home visit with the same physical therapists over time. ",https://medcitynews.com/2021/11/kaia-adds-in-person-physical-therapy-through-partnership/
4,,,2021/11/3 14:17,MedCity,Shoreline Biosciences secures $140M for off-the-shelf NK cell therapies for cancer,Shoreline Biosciences secures $140M for off-the-shelf NK cell therapies for cancer,"Gilead Sciences and BeiGene, which started research alliances with Shoreline Biosciences earlier this year, are among the investors in the biotech’s latest financing. The preclinical-stage company technology develops cell therapies for cancer by using natural killer cells.",https://medcitynews.com/2021/11/shoreline-biosciences-secures-140m-for-off-the-shelf-nk-cell-therapies-for-cancer/
5,,,2021/11/2 09:15,Biotech,Why public health lab workers are fleeing the field,Why public health lab workers are fleeing the field,"Across California, public health departments are losing experienced staffers to retirement, exhaustion, partisan politics and higher-paying jobs.",https://www.fiercebiotech.com/medtech/labs-no-one-to-run-them-why-public-health-workers-are-fleeing-field
6,,,2021/11/2 08:30,Biotech,Pfizer sells midphase inflammatory drugs to mystery startup,Pfizer sells midphase inflammatory drugs to mystery startup,"Having studied its lead TYK2 inhibitor in a raft of diseases, Pfizer is offloading the portfolio to a new company in return for a 25% stake.",https://www.fiercebiotech.com/biotech/pfizer-sells-midphase-inflammatory-drugs-to-mystery-startup-exiting-race-against-bristol
7,,,2021/11/2 08:00,Biotech,"BMS tops AbbVie-backed Nitrase's $45M series A, snags Nurix exec","BMS tops AbbVie-backed Nitrase's $45M series A, snags Nurix exec","Not a U.K. gaming company: Nitrome rebrands to Nitrase to mirror its new enzymes, adds BMS as investor and snags new CEO to ink pharma collaborations.",https://www.fiercebiotech.com/biotech/abbvie-backed-nitrome-adds-bms-as-investor-snags-nurix-cbo-as-ceo-and-rebrands-to-nitrase
8,,,2021/11/2 07:30,MedCity,Remote service: The new paradigm for biopharma manufacturing,Remote service: The new paradigm for biopharma manufacturing,Microsoft seeks to change the way pharma industry companies use technology to navigate human resource challenges and restore confidence in drug development supply chains.,https://medcitynews.com/2021/11/remote-service-the-new-paradigm-for-biopharma-manufacturing/
9,,,2021/11/2 05:00,Biotech,Novartis inks protein degrader deal with new British startup,Novartis inks protein degrader deal with new British startup,"By putting up $24 million and committing to $1.3 billion in biobucks, Novartis has secured the chance to option candidates against up to four targets.",https://www.fiercebiotech.com/biotech/novartis-makes-protein-degrader-play-inking-deal-new-british-startup-to-access-fruits-novel
