,datetime,title,desc,link
0,2021-11-05,Alphabet成立新公司 投入AI藥物挖掘！,Google母公司Alphabet，以DeepMind在蛋白質折疊 (protein-folding) 模擬取得成功為基礎，成立了一家人工智慧公司投入藥物挖掘。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r22rysj7oyobq0o&PageNO=1 target=""_blank""><div>link</div></a>"
1,2021-11-04,Moderna攜手研發夥伴Metagenomi進軍基因編輯,Moderna和總部位於加州Emeryville的Metagenomi公司簽署策略性的研發協議，為活體內 (in vivo) 治療提供新的基因編輯系統。雙邊合作將利用Metagenomi的創新基因編輯技術、Moderna的mRNA平臺和脂質奈米粒子（LNP）傳輸技術，著眼於嚴重的遺傳性疾病上。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r20xihn1gy0qm1x&PageNO=1 target=""_blank""><div>link</div></a>"
2,2021-11-02,翁啟惠、楊泮池將談生醫產業疫後戰略,國家生技醫療產業策進會（生策會）會長翁啟惠表示，新冠肺炎疫情為人類帶來巨變，全球在疫苗、藥物及檢測技術都看到突破性進步，台灣經過這次疫情洗禮後，政府應將疫苗及藥物發展視為重要的產業政策，加速建立自主研發能量，迎戰未來可能發生的新興傳染病。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r1x7p46sctqu4uk&PageNO=1 target=""_blank""><div>link</div></a>"
3,2021-10-22,透過VR看電視治療弱視！FDA批准新數位療法,與其勸阻兒科患者不要看太多電視，兒科醫師現在可能會把看電視作為治療的一部分！,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r1ctpuc4hfucfkn&PageNO=2 target=""_blank""><div>link</div></a>"
4,2021-10-18,飛利浦搶攻數位病理市場 推出新平台工具IntelliSite,飛利浦於15日發表新的企業版數位病理平台IntelliSite。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r15e90yj89r2whr&PageNO=2 target=""_blank""><div>link</div></a>"
5,2021-10-14,FDA新認定突破性醫材：檢測阿茲海默症及癌症藥物反應的液態切片,FDA突破性醫材認定名單新增了包括阿茲海默症和膀胱癌的液態切片檢驗。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r0y0wg6r1awmw7c&PageNO=2 target=""_blank""><div>link</div></a>"
6,2021-10-13,武田製藥大舉投入基因治療 與Poseida簽訂36億美元合作計畫,武田(Takeda)持續投入基因療法領域，昨日宣布與Poseida Therapeutics簽訂研究合作計畫，該合作可能讓Poseida Therapeutics身價增漲至36億美元。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r0w5doj1c7uax9s&PageNO=2 target=""_blank""><div>link</div></a>"
7,2021-10-06,疫情助力！2021數位醫療募資突破213億美元,根據Rock Health近期發佈的報告，今年前三季，數位醫療公司募資總金額飆升至213億美元，進一步打破2020年全年146億美元的紀錄。2021年Q2即已超越這項紀錄。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r0j8dcihamg2hmc&PageNO=3 target=""_blank""><div>link</div></a>"
8,2021-10-04,Merck新冠口服藥三期試驗期中分析數據,在期中分析中，接受Molnupiravir治療的患者，有7.3%在第29天後住院，而接受安慰劑治療的患者中，有14.1%住院或死亡。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r0fj8lf3yxa1khd&PageNO=3 target=""_blank""><div>link</div></a>"
9,2021-10-04,五藥廠新藥將收成,新一波新藥族群陸續完成上市前最後一哩路，包括中裕新藥、藥華醫藥、逸達三公司開發的藥物，各自完成美國食品藥物管理局（FDA）查廠及三期臨床解盲，最快今年底到明年初在美國市場銷售；杏國與合一兩公司開發的新藥，也有機會年底前拿到美國及大陸市場藥證。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r0fi38eyznm4qp9&PageNO=3 target=""_blank""><div>link</div></a>"
10,2021-10-04,CT影像再突破！西門子設備獲FDA許可,FDA核准西門子醫療一款診斷影像設備的510(k)許可，該設備可提高電腦斷層掃描(CT)的空間解析度，同時降低輻射劑量。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r0fghx73qtsr6pq&PageNO=3 target=""_blank""><div>link</div></a>"
11,2021-09-28,FDA核准首個從切片找出攝護腺癌的AI判讀軟體,科技公司多年來一直在尋求開發能夠輔助診斷癌症的人工智慧，,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0r04ch0cwntgrnh0&PageNO=4 target=""_blank""><div>link</div></a>"
12,2021-09-17,【育世博】登ESMO發表ACE1702一期臨床期中成果,"育世博生技17日宣布其旗下產品ACE1702標定靶向HER2之現成型(off-the-shelf)異體自然殺手細胞(NK cell)治療新藥，其一期臨床試驗期中分析數據，發表於9月16日登場的歐洲腫瘤醫學會年會(ESMO)。本次發表數據涵蓋ACE1702四個劑量組別之安全性驗證，無劑量限制性毒性反應(dose-limiting toxicity，DLT)，且針對HER2表現陽性實體腫瘤病患，展現部分緩解(partial response, PR)之治療成果。","<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0qzk2n0uzzzmopu8&PageNO=4 target=""_blank""><div>link</div></a>"
13,2021-09-17,育世博登ESMO發表ACE1702一期臨床期中成果,"育世博生技17日宣布其旗下產品ACE1702標定靶向HER2之現成型(off-the-shelf)異體自然殺手細胞(NK cell)治療新藥，其一期臨床試驗期中分析數據，發表於9月16日登場的歐洲腫瘤醫學會年會(ESMO)。本次發表數據涵蓋ACE1702四個劑量組別之安全性驗證，無劑量限制性毒性反應(dose-limiting toxicity，DLT)，且針對HER2表現陽性實體腫瘤病患，展現部分緩解(partial response, PR)之治療成果。","<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0qzk0a1poshqs09m&PageNO=4 target=""_blank""><div>link</div></a>"
14,2021-09-15,Astellas實驗性基因療法再出現死亡案例,一名接受Astellas Pharma (安斯泰來製藥)實驗性基因療法治療、X染色體性聯遺傳型（XLMTM）肌小管病變患者在本月初接受AT132治療後出現嚴重不良反應後死亡。這位患者是過去兩年的臨床試驗中的第四例。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0qzgabpzqapipjzh&PageNO=5 target=""_blank""><div>link</div></a>"
15,2021-09-14,新加坡研發AI演算法診斷青光眼 準確率達97%,位於新加坡的南洋理工大學（NTU）的科學家與陳篤生醫院（TTSH）的醫師合作，開發了一種利用人工智慧（AI）檢查青光眼的新方法，青光眼是會導致視神經受損、甚至視力喪失的眼部疾病。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0qzef7aeg0s7nqcq&PageNO=5 target=""_blank""><div>link</div></a>"
16,2021-09-13,FDA新公布突破性醫材認定名單,FDA在夏季結束前公布新的突破性醫材認定名單，包括用於治療和檢測癌症的產品。突破性材認定可望為醫材申請商提供更便捷的上市許可申請，為難以治療的疾病或沒有太多選擇的病患提供創新產品。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0qzck9fvrch40vcv&PageNO=5 target=""_blank""><div>link</div></a>"
17,2021-09-08,探討腺相關病毒風險 FDA召開基因療法安全會議&nbsp;,來源：生策會編譯,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0qz3aztbjhlmqcy1&PageNO=5 target=""_blank""><div>link</div></a>"
18,2021-09-03,AZ與賽默飛世爾策略合作發展精準醫療,AZ和賽默飛世爾科技 (Thermo Fisher Scientific) １日宣布雙方將進行為期多年的策略合作，共同開發以次世代定序（NGS）為基礎的伴隨式診斷（CDx）。這項合作將利用賽默飛世爾的技術和專業知識，可為AZ的標靶藥物組合提供有利資訊。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0qyu1rh16r5vpy93&PageNO=5 target=""_blank""><div>link</div></a>"
19,2021-09-01,Mayo和nference AI研究分析抗體治療可減少COVID高危患者的住院率,經過一年來基於研究合作的資料分析後，梅約醫學中心(Mayo Clinic)和AI科技公司nference的研究繼續開花結果。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0qyqc7whhwhw47u4&PageNO=5 target=""_blank""><div>link</div></a>"
20,2021-08-25,羅氏布局次世代基因療法 交易金額上看30億美元,瑞士製藥巨頭羅氏對旗下已進入第三期試驗的阿茲海默症藥物gantenerumab相當謹慎，尤其是在美國藥廠百健(Biogen) 備受爭議的新藥Aduhelm獲FDA核准後。,"<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0qye3p30q0s804er&PageNO=6 target=""_blank""><div>link</div></a>"
21,2021-08-24,比侵入性組織切片更準確 西門子脂肪肝血液檢測獲FDA De Novo核准,"根據預測，非酒精性脂肪肝將在十年內成為器官損傷和肝臟移植的首要原因，然而治療非酒精性脂肪肝疾病 (non-alcoholic fatty liver disease, NAFLD) 卻停滯不前，因為難以診斷辨別NAFLD。","<a href=https://ibmi.taiwan-healthcare.org/zh/news_detail.php?REFDOCTYPID=&REFDOCID=0qyc8n76wzaxsvvm&PageNO=6 target=""_blank""><div>link</div></a>"
